,News Channel,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBCNews,Wed Mar 07 22:36:52 +0000 2018,0.0,0.0,1.0,0.0,1
1,@BBCNews,Wed Mar 07 22:36:16 +0000 2018,0.0,0.0,1.0,0.0,2
2,@BBCNews,Wed Mar 07 22:35:39 +0000 2018,-0.4939,0.0,0.802,0.198,3
3,@BBCNews,Wed Mar 07 22:34:43 +0000 2018,-0.4939,0.0,0.824,0.176,4
4,@BBCNews,Wed Mar 07 22:16:54 +0000 2018,-0.5719,0.0,0.764,0.236,5
5,@BBCNews,Wed Mar 07 22:15:30 +0000 2018,-0.4939,0.0,0.802,0.198,6
6,@BBCNews,Wed Mar 07 22:15:07 +0000 2018,-0.4939,0.0,0.802,0.198,7
7,@BBCNews,Wed Mar 07 22:14:47 +0000 2018,-0.1027,0.115,0.747,0.138,8
8,@BBCNews,Wed Mar 07 22:14:22 +0000 2018,0.0,0.0,1.0,0.0,9
9,@BBCNews,Wed Mar 07 19:25:19 +0000 2018,-0.6369,0.0,0.656,0.344,10
10,@BBCNews,Wed Mar 07 19:20:27 +0000 2018,-0.34,0.195,0.519,0.286,11
11,@BBCNews,Wed Mar 07 18:09:26 +0000 2018,-0.4939,0.0,0.811,0.189,12
12,@BBCNews,Wed Mar 07 17:46:24 +0000 2018,-0.6908,0.0,0.749,0.251,13
13,@BBCNews,Wed Mar 07 17:38:13 +0000 2018,-0.6908,0.0,0.657,0.343,14
14,@BBCNews,Wed Mar 07 17:05:03 +0000 2018,0.128,0.23,0.576,0.194,15
15,@BBCNews,Wed Mar 07 16:54:42 +0000 2018,0.0,0.0,1.0,0.0,16
16,@BBCNews,Wed Mar 07 16:53:22 +0000 2018,-0.1531,0.148,0.656,0.197,17
17,@BBCNews,Wed Mar 07 16:43:33 +0000 2018,0.0,0.0,1.0,0.0,18
18,@BBCNews,Wed Mar 07 16:42:13 +0000 2018,-0.8176,0.0,0.691,0.309,19
19,@BBCNews,Wed Mar 07 16:26:59 +0000 2018,-0.8625,0.0,0.625,0.375,20
20,@CBSNews,Wed Mar 07 23:44:52 +0000 2018,-0.7269,0.0,0.705,0.295,1
21,@CBSNews,Wed Mar 07 23:43:35 +0000 2018,0.0,0.0,1.0,0.0,2
22,@CBSNews,Wed Mar 07 23:40:59 +0000 2018,0.2732,0.104,0.896,0.0,3
23,@CBSNews,Wed Mar 07 23:38:14 +0000 2018,-0.4588,0.068,0.727,0.205,4
24,@CBSNews,Wed Mar 07 23:36:45 +0000 2018,0.0,0.0,1.0,0.0,5
25,@CBSNews,Wed Mar 07 23:34:48 +0000 2018,-0.3818,0.0,0.88,0.12,6
26,@CBSNews,Wed Mar 07 23:33:00 +0000 2018,-0.4767,0.0,0.866,0.134,7
27,@CBSNews,Wed Mar 07 23:30:01 +0000 2018,0.0,0.0,1.0,0.0,8
28,@CBSNews,Wed Mar 07 23:10:03 +0000 2018,-0.3612,0.0,0.884,0.116,9
29,@CBSNews,Wed Mar 07 23:06:30 +0000 2018,0.4215,0.157,0.843,0.0,10
30,@CBSNews,Wed Mar 07 22:50:01 +0000 2018,0.5267,0.183,0.739,0.078,11
31,@CBSNews,Wed Mar 07 22:30:02 +0000 2018,0.3551,0.101,0.899,0.0,12
32,@CBSNews,Wed Mar 07 22:10:01 +0000 2018,0.0,0.0,1.0,0.0,13
33,@CBSNews,Wed Mar 07 21:50:01 +0000 2018,-0.4767,0.0,0.788,0.212,14
34,@CBSNews,Wed Mar 07 21:30:01 +0000 2018,0.0,0.0,1.0,0.0,15
35,@CBSNews,Wed Mar 07 21:10:01 +0000 2018,0.0,0.0,1.0,0.0,16
36,@CBSNews,Wed Mar 07 20:50:56 +0000 2018,0.128,0.134,0.711,0.155,17
37,@CBSNews,Wed Mar 07 20:30:32 +0000 2018,0.0,0.0,1.0,0.0,18
38,@CBSNews,Wed Mar 07 20:06:11 +0000 2018,0.0,0.0,1.0,0.0,19
39,@CBSNews,Wed Mar 07 20:03:14 +0000 2018,0.5719,0.171,0.829,0.0,20
40,@CNN,Wed Mar 07 23:49:33 +0000 2018,0.0,0.0,1.0,0.0,1
41,@CNN,Wed Mar 07 23:45:57 +0000 2018,0.7184,0.286,0.714,0.0,2
42,@CNN,Wed Mar 07 23:35:01 +0000 2018,-0.6983,0.0,0.746,0.254,3
43,@CNN,Wed Mar 07 23:32:23 +0000 2018,0.0,0.0,1.0,0.0,4
44,@CNN,Wed Mar 07 23:31:00 +0000 2018,0.0,0.0,1.0,0.0,5
45,@CNN,Wed Mar 07 23:27:58 +0000 2018,-0.25,0.068,0.818,0.114,6
46,@CNN,Wed Mar 07 23:23:33 +0000 2018,0.4215,0.135,0.865,0.0,7
47,@CNN,Wed Mar 07 23:16:04 +0000 2018,-0.8934,0.0,0.599,0.401,8
48,@CNN,Wed Mar 07 23:12:04 +0000 2018,0.0,0.0,1.0,0.0,9
49,@CNN,Wed Mar 07 23:06:12 +0000 2018,-0.2263,0.153,0.605,0.242,10
50,@CNN,Wed Mar 07 23:06:07 +0000 2018,0.0,0.0,1.0,0.0,11
51,@CNN,Wed Mar 07 23:03:03 +0000 2018,0.0,0.0,1.0,0.0,12
52,@CNN,Wed Mar 07 22:59:07 +0000 2018,-0.0762,0.0,0.925,0.075,13
53,@CNN,Wed Mar 07 22:52:05 +0000 2018,0.0,0.0,1.0,0.0,14
54,@CNN,Wed Mar 07 22:44:07 +0000 2018,0.0,0.0,1.0,0.0,15
55,@CNN,Wed Mar 07 22:37:47 +0000 2018,0.0,0.0,1.0,0.0,16
56,@CNN,Wed Mar 07 22:37:37 +0000 2018,-0.2263,0.056,0.855,0.089,17
57,@CNN,Wed Mar 07 22:34:06 +0000 2018,-0.5719,0.0,0.68,0.32,18
58,@CNN,Wed Mar 07 22:30:25 +0000 2018,-0.8074,0.0,0.733,0.267,19
59,@CNN,Wed Mar 07 22:27:25 +0000 2018,-0.4019,0.0,0.87,0.13,20
60,@FoxNews,Wed Mar 07 23:43:13 +0000 2018,0.5994,0.353,0.647,0.0,1
61,@FoxNews,Wed Mar 07 23:32:48 +0000 2018,-0.2023,0.0,0.816,0.184,2
62,@FoxNews,Wed Mar 07 23:30:45 +0000 2018,0.0516,0.156,0.699,0.145,3
63,@FoxNews,Wed Mar 07 23:26:23 +0000 2018,0.0,0.0,1.0,0.0,4
64,@FoxNews,Wed Mar 07 23:22:11 +0000 2018,-0.2732,0.0,0.861,0.139,5
65,@FoxNews,Wed Mar 07 23:18:35 +0000 2018,-0.2263,0.0,0.888,0.112,6
66,@FoxNews,Wed Mar 07 23:07:04 +0000 2018,-0.7783,0.112,0.449,0.438,7
67,@FoxNews,Wed Mar 07 23:01:44 +0000 2018,0.0,0.0,1.0,0.0,8
